,name_x,name_y,value,source,target
1018,clme0501,immd0180,4,257.0,202.0
1019,bioc0801,whgu0172,2,243.0,1.0
1020,raob0182,clme0670,1,258.0,62.0
1021,raob0182,clme0667,1,258.0,106.0
1022,raob0182,gree1620,1,258.0,304.0
1023,clme0670,gree1620,1,62.0,304.0
1024,clme0667,gree1620,2,106.0,304.0
1025,JLG40,RSJ33,6,131.0,109.0
1026,immd0151,immd0075,3,29.0,208.0
1027,chem0489,newc0612,2,119.0,237.0
1028,newc0612,clme0497,2,237.0,41.0
1029,newc0612,raob0097,2,237.0,21.0
1030,newc0612,clme1358,2,237.0,157.0
1031,clme0497,raob0097,2,41.0,21.0
1032,raob0097,clme1358,2,21.0,157.0
1033,PL219,PPD21,2,259.0,260.0
1034,PL219,YK299,2,259.0,688.0
1035,PPD21,YK299,2,260.0,688.0
1036,ERC24,EW442,6,108.0,608.0
1037,bioc0416,clme0946,2,134.0,120.0
1038,clme1037,clme0485,5,111.0,248.0
1039,stat0004,gree0184,2,49.0,101.0
1040,whgu0527,SPJ13,4,211.0,93.0
1041,AGL22,PAWE1,2,198.0,235.0
1042,AGL22,RCF29,3,198.0,105.0
1043,st321,PAWE1,9,19.0,235.0
1044,st321,RCF29,8,19.0,105.0
1045,PAWE1,RCF29,5,235.0,105.0
1046,raob0233,raob0122,1,261.0,225.0
1047,raob0233,raob0121,1,261.0,178.0
1048,raob0122,raob0121,2,225.0,178.0
1049,TGQE2,DIJ21,2,138.0,112.0
1050,TGQE2,DJL15,4,138.0,102.0
1051,TGQE2,TJ212,5,138.0,262.0
1052,TGQE2,mjg40,2,138.0,190.0
1053,DIJ21,DJL15,2,112.0,102.0
1054,DIJ21,mjg40,2,112.0,190.0
1055,DJL15,TJ212,2,102.0,262.0
1056,TJ212,mjg40,2,262.0,190.0
1057,ndog0115,clme0240,1,263.0,3.0
1058,ndog0115,whgu0172,1,263.0,1.0
1059,clme0240,whgu0172,1,3.0,1.0
1060,ctsu0265,darby,4,264.0,182.0
1061,raob0072,clme0670,1,26.0,62.0
1062,MPW1001,CF366,2,172.0,382.0
1063,PJL30,CF366,2,265.0,382.0
1064,ocms0064,awatts,3,266.0,325.0
1065,phpc0084,ndos0168,2,124.0,136.0
1066,ocms0064,path0204,4,266.0,170.0
1067,immd0084,ndog0115,1,92.0,263.0
1068,GM290,BB313,4,146.0,352.0
1069,card0039,whgu0172,1,25.0,1.0
1070,whgu0172,card0025,5,1.0,23.0
1071,immd0282,path0511,2,181.0,60.0
1072,clme0220,clph0059,3,38.0,133.0
1073,whgu0274,whgu0172,2,5.0,1.0
1074,whgu0274,clme0240,4,5.0,3.0
1075,whgu0274,PHM29,7,5.0,300.0
1076,whgu0172,PHM29,2,1.0,300.0
1077,immd0237,PHM29,5,2.0,300.0
1078,clme0240,PHM29,5,3.0,300.0
1079,MF364,RK385,2,84.0,267.0
1080,RK385,SB674,2,267.0,188.0
1081,clne0009,prhc0003,1,150.0,223.0
1082,clme0237,immd0330,10,77.0,167.0
1083,clme0494,ocms0037,2,27.0,230.0
1084,clme0494,immd0082,2,27.0,59.0
1085,clme0494,stat0004,2,27.0,49.0
1086,clme0494,lina0435,2,27.0,166.0
1087,clme0494,clme0195,2,27.0,175.0
1088,ocms0037,immd0082,2,230.0,59.0
1089,ocms0037,stat0004,2,230.0,49.0
1090,ocms0037,lina0435,2,230.0,166.0
1091,ocms0037,clme0195,6,230.0,175.0
1092,immd0082,stat0004,2,59.0,49.0
1093,immd0082,lina0435,2,59.0,166.0
1094,stat0004,clme0195,2,49.0,175.0
1095,lina0435,clme0195,2,166.0,175.0
1096,engs0357,raob0051,2,221.0,153.0
1097,DEN22,FMW22,2,11.0,35.0
1098,CG348,ARG1000,4,231.0,91.0
1100,clme0975,immd0023,2,31.0,201.0
1101,immd0423,clme0220,1,269.0,38.0
1102,immd0423,immd0316,1,269.0,34.0
1103,NC109,MDT33,4,74.0,58.0
1104,MDT33,MJM16,6,58.0,377.0
1105,BG200,JIS30,6,186.0,361.0
1106,ERC24,JT233,2,108.0,234.0
1107,clme0667,raob0069,4,106.0,56.0
1108,clme0667,raob0095,1,106.0,61.0
1109,clme0670,raob0095,10,62.0,61.0
1110,raob0069,raob0097,3,56.0,21.0
1111,raob0097,raob0095,3,21.0,61.0
1112,immd0151,immd0036,7,29.0,217.0
1113,TLB20,ARV22,4,173.0,99.0
1114,ARV22,CA26,6,99.0,185.0
1115,clme0195,ocms0037,2,175.0,230.0
1116,univ1102,bioc0416,6,270.0,134.0
1117,whgu0378,immd0330,1,4.0,167.0
1118,whgu0378,immd0423,1,4.0,269.0
1119,clme0237,clme0975,1,77.0,31.0
